Dates,Open,High,Low,Close,Volume,roc_1,roc_2,roc_3,roc_average,roc_indicator,Signal,Trades
01-02-2002,1088,1088,1081,1084.1,0,-0.000755252,0.001540377,-0.00048727,9.93E-05,0,0,0
04-02-2002,1085,1085,1077.05,1078.25,0,-0.001100665,0.000550959,-0.000623954,-0.00039122,0,0,0
05-02-2002,1073.3,1081.1,1070.55,1075.05,0,-0.001808467,0.000958186,-0.00083071,-0.00056033,0,0,0
06-02-2002,1080,1122,1076,1118.75,0,0.002835739,0.002222956,0.000148361,0.001735685,1,1,1
07-02-2002,1123,1125.95,1103,1107.4,0,0.002088039,0.001224756,-2.71E-05,0.001095244,1,1,0
08-02-2002,1109,1127,1105,1119.35,0,0.003327795,0.000748089,0.000229906,0.001435263,1,1,0
11-02-2002,1127.7,1137.4,1126.55,1129.3,0,0.005144081,0.0011665,0.000798419,0.002369667,1,1,0
12-02-2002,1133.15,1136.9,1122,1124.8,0,0.00469099,0.000384167,0.00080882,0.001961326,0,0,-1
13-02-2002,1126,1139.9,1125,1130.1,0,0.005765091,0.00120505,0.001069204,0.002679782,1,1,1
14-02-2002,1135,1148.9,1135,1145.65,0,0.006532453,0.001955596,0.001912145,0.003466731,1,1,0
15-02-2002,1148,1154.9,1146.9,1150.6,0,0.00613412,0.002445818,0.002057662,0.003545867,1,1,0
18-02-2002,1153,1163.9,1145,1161,0,0.007674473,0.00176259,0.002612615,0.004016559,0,0,-1
19-02-2002,1163,1163.9,1146.1,1149.5,0,0.006925259,0.001973618,0.002244501,0.00371446,0,0,0
20-02-2002,1144.25,1145.5,1135.5,1141.6,0,0.002042458,0.001797712,0.002536302,0.002125491,0,0,0
21-02-2002,1147.6,1151,1143.5,1144.75,0,0.003372765,0.001094907,0.003057598,0.002508423,0,0,0
22-02-2002,1142,1159,1138.6,1155.6,0,0.003238487,0.002316107,0.002675065,0.00274322,0,0,0
25-02-2002,1158,1159.4,1147,1157.55,0,0.00250155,0.002469158,0.002208302,0.002393003,1,1,1
26-02-2002,1159,1185,1159,1182.35,0,0.005116465,0.003196785,0.003153872,0.003822374,1,1,0
27-02-2002,1186.8,1190.45,1172.1,1182.35,0,0.004623485,0.003472746,0.00288956,0.00366193,1,1,0
28-02-2002,1183.55,1189.9,1136.5,1142.05,0,-0.000314232,0.002112929,0.001571661,0.001123453,0,0,-1
01-03-2002,1129.1,1161.9,1129.1,1158.9,0,0.000721363,0.002791471,0.001367401,0.001626745,0,0,0
04-03-2002,1163,1201,1163,1169.1,0,0.000697674,0.003539872,0.001635833,0.001957793,0,0,0
05-03-2002,1176.9,1180,1165,1167.45,0,0.001561548,0.003464259,0.001197155,0.002074321,0,0,0
06-03-2002,1170.1,1171.9,1155.05,1161.85,0,0.001773826,0.003494619,0.001476687,0.002248377,0,0,0
07-03-2002,1164.9,1182.85,1164.9,1180.25,0,0.003101114,0.003899944,0.002014191,0.003005083,0,0,0
08-03-2002,1182,1183.95,1172.1,1175.15,0,0.001691762,0.003359469,0.002094669,0.002381967,0,0,0
11-03-2002,1178,1179.8,1158,1160.35,0,0.00024189,0.003045676,0.001087005,0.00145819,0,0,0
12-03-2002,1159.95,1161,1150.1,1153.3,0,-0.002456971,0.002911492,0.001320234,0.000591585,0,0,0
13-03-2002,1147.1,1164.5,1147.1,1157.75,0,-0.002080602,0.001394413,0.001493135,0.000268982,-1,-1,-1
14-03-2002,1157.5,1161.9,1153,1158.55,0,0.00144477,0.001847571,0.000993942,0.001428761,0,0,1
15-03-2002,1161,1176.65,1161,1174.4,0,0.001337475,0.001967213,0.001877832,0.001727507,0,0,0
18-03-2002,1180,1180,1168.1,1171.1,0,0.000171072,0.001480563,0.001853933,0.001168523,-1,-1,-1
19-03-2002,1170,1171,1157,1158.5,0,-0.000766628,0.001198435,0.001453395,0.000628401,-1,-1,0
20-03-2002,1158.9,1164.4,1155.5,1162.6,0,6.46E-05,0.001150341,0.00171661,0.000977168,-1,-1,0
21-03-2002,1160.15,1160.15,1148.6,1150.55,0,-0.002516416,0.000171082,0.001516478,-0.000276285,-1,-1,0
22-03-2002,1150.1,1153.5,1143.55,1147.1,0,-0.002386929,-0.000121676,0.001472353,-0.000345417,-1,-1,0
26-03-2002,1140.55,1145,1130,1131.2,0,-0.002512173,-0.001026701,0.001330245,-0.00073621,-1,-1,0
27-03-2002,1134.7,1137.4,1128.1,1129.15,0,-0.002093991,-0.000708134,0.001273967,-0.000509386,-1,-1,0
28-03-2002,1132,1138.5,1128,1129.55,0,-0.002435759,-0.000422214,0.001428404,-0.000476523,-1,-1,0
01-04-2002,1143.3,1144.5,1137.25,1140.3,0,-0.001575245,-0.000155492,0.001508741,-7.40E-05,-1,-1,0
