Dates,0,1,2,3,4,5,6,7
2007-04-25,404.9499999999998,36.0,2862.199999999999,1257.199999999999,2169.6499999999987,1.3191989491392624,0.5794482981125987,0.7397506510266637
2007-04-26,171.05000000000018,50.0,2888.249999999999,1182.199999999999,2113.699999999999,1.3664427307564937,0.5593035908596298,0.8071391398968639
2007-04-27,25.0,254.44999999999982,2573.249999999999,1436.6499999999987,2075.699999999998,1.2397022691140345,0.6921279568338392,0.5475743122801953
2007-04-30,15.600000000000364,385.0,2386.8499999999995,1721.6499999999987,2177.3499999999976,1.0962178795324602,0.7907088892461022,0.30550899028635803
2007-05-03,244.94999999999982,25.0,2476.7999999999993,1649.6499999999987,2156.2999999999975,1.1486342345684748,0.7650373324676533,0.38359690210082154
2007-05-04,120.0,88.64999999999964,2585.7999999999993,1478.2999999999984,2141.5999999999976,1.2074150168098627,0.6902782966006724,0.5171367202091903
2007-05-07,98.69999999999982,177.0,2405.499999999999,1625.2999999999984,2089.5499999999975,1.1512048048622918,0.7778229762389033,0.37338182862338853
2007-05-08,77.0,209.14999999999964,2242.5999999999995,1824.449999999998,2136.399999999998,1.049709792173751,0.8539833364538475,0.19572645571990355
2007-05-09,139.14999999999964,192.94999999999982,2238.749999999999,1947.4999999999982,2172.3499999999976,1.0305659769374187,0.8964945796027345,0.1340713973346842
2007-05-10,250.94999999999982,44.899999999999636,2321.7999999999993,1925.3999999999978,2184.0999999999976,1.0630465638020246,0.8815530424431115,0.18149352135891306
2007-05-11,104.89999999999964,188.0,2311.699999999999,1955.949999999998,2179.5499999999975,1.0606317817898196,0.8974100158289556,0.16322176596086402
2007-05-14,335.0,39.0,2427.199999999999,1914.9999999999982,2253.699999999998,1.0769845143541736,0.8497138039668101,0.22727071038736357
2007-05-15,214.0,50.0,2516.249999999999,1865.0499999999984,2291.699999999998,1.0979840293232104,0.8138281624994546,0.2841558668237558
2007-05-16,334.0,13.0,2535.249999999999,1753.0999999999985,2162.249999999998,1.1725054919643896,0.8107758122326281,0.3617296797317615
2007-05-17,329.8000000000002,15.0,2460.0999999999995,1732.0999999999985,2201.8499999999985,1.117287735313487,0.7866566750686921,0.3306310602447948
2007-05-18,133.0,57.80000000000018,2422.0499999999993,1739.8999999999987,2166.7999999999984,1.117800443049659,0.8029813549935388,0.31481908805612024
2007-05-21,197.89999999999964,17.0,2594.949999999999,1502.449999999999,2138.699999999999,1.213330527890775,0.7025061953523167,0.5108243325384582
2007-05-22,80.0,94.89999999999964,2659.3499999999985,1212.3499999999985,1978.0499999999993,1.3444301205732916,0.6129015950051814,0.7315285255681102
2007-05-23,40.0,165.39999999999964,2454.3999999999987,1352.7499999999982,2011.499999999999,1.2201839423315932,0.6725080785483464,0.5476758637832468
2007-05-24,61.399999999999636,203.89999999999964,2395.7999999999984,1467.9999999999982,2001.699999999999,1.1968826497477143,0.7333766298646146,0.4635060198830997
2007-05-25,58.899999999999636,217.0,2355.999999999998,1507.9999999999982,2011.699999999999,1.171148779639111,0.7496147536909077,0.4215340259482032
2007-05-28,240.0,25.0,2518.999999999998,1323.8499999999985,1976.6499999999996,1.2743783674398597,0.669744264285533,0.6046341031543266
2007-05-29,61.0,88.0,2440.8499999999985,1218.8999999999987,1874.6999999999998,1.3019949858644044,0.6501840294447105,0.6518109564196939
2007-05-30,90.0,104.0,2279.8999999999987,1277.999999999999,1874.8000000000002,1.2160763814806905,0.68167271175592,0.5344036697247705
2007-05-31,98.0,75.0,2272.999999999999,1164.999999999999,1790.0,1.2698324022346363,0.6508379888268151,0.6189944134078212
2007-06-01,145.0,11.399999999999636,2082.999999999999,1137.3999999999987,1691.4499999999998,1.2314877767595847,0.6724408052262845,0.5590469715333002
2007-06-04,128.60000000000036,40.0,1997.5999999999995,1127.3999999999987,1638.4499999999998,1.2192010741859682,0.6880893527419201,0.5311117214440482
2007-06-05,169.5,84.5,1833.0999999999995,1198.8999999999987,1596.9499999999998,1.147875637934813,0.7507436049970249,0.3971320329377881
2007-06-06,177.5,248.5,1680.7999999999993,1432.3999999999987,1713.3499999999995,0.9810021303294714,0.8360229958852535,0.14497913444421784
2007-06-07,44.0,363.0,1591.7999999999993,1737.5999999999985,1778.3499999999995,0.8950993898838809,0.9770855006044924,-0.08198611072061146
2007-06-08,65.0,294.89999999999964,1458.8999999999996,2015.4999999999982,1855.999999999999,0.7860452586206899,1.0859374999999996,-0.2998922413793097
2007-06-11,199.89999999999964,134.94999999999982,1578.7999999999993,2055.5499999999984,1901.949999999999,0.8300954283761404,1.0807592207997054,-0.25066379242356507
2007-06-12,31.949999999999818,213.5,1570.749999999999,2103.6499999999987,1896.0499999999993,0.8284327944938159,1.1094907834708998,-0.2810579889770839
2007-06-13,118.5,132.0,1627.8499999999995,2031.749999999999,1887.1499999999996,0.8625970378613251,1.076623479850568,-0.21402644198924292
2007-06-14,130.89999999999964,69.44999999999982,1699.8499999999995,1884.199999999999,1858.6499999999996,0.9145616442041266,1.0137465364646379,-0.0991848922605113
2007-06-15,151.44999999999982,35.79999999999927,1611.2999999999993,1894.9999999999982,1851.449999999999,0.8702908531151261,1.023522104296632,-0.15323125118150593
2007-06-18,119.89999999999964,77.0,1670.199999999999,1883.9999999999982,1860.449999999999,0.8977397941358273,1.012658227848101,-0.11491843371227362
2007-06-19,240.0,125.0,1820.199999999999,1904.9999999999982,2022.449999999999,0.8999975277509951,0.941926870874434,-0.04192934312343899
2007-06-20,397.0,1.0,2119.199999999999,1830.9999999999982,2067.199999999999,1.0251547987616099,0.8857391640866868,0.13941563467492302
2007-06-21,163.85000000000036,80.0,2138.0499999999993,1899.5999999999985,2099.5499999999993,1.018337262746779,0.9047653068514678,0.11357195589531122
2007-06-22,197.5,32.650000000000546,2206.949999999999,1892.249999999999,2111.8499999999995,1.0450316073584769,0.8960153419987213,0.14901626535975554
2007-06-25,24.25,143.5,2061.699999999999,1951.249999999999,2013.2999999999993,1.0240401331147866,0.9691799533104851,0.05486017980430147
